this_year_bycond,this_year_descrip_e,this_year_descrip_f,last_year_bycond,last_year_descrip_e,last_year_descrip_f
LEVEL4ID = 401,Abroad: ANKRA / BGRAD / COPEN / HSNKI / ISTBL / KYIV / MOSCO / NSLTN / OSLO / RKJVK / STKHM,À l'étranger : ANKRA / BGRAD / COPEN / HSNKI / ISTBL / KYIV / MOSCO / NSLTN / OSLO / RKJVK / STKHM,NA,NA,NA
LEVEL4ID = 402,"Canada: ELD - North Africa, Israel, West Bank/Gaza","Canada : ELD - Afrique N, Israël, Cisjordanie/Gaza",NA,NA,NA
LEVEL4ID = 403,Abroad: ALGER / CAIRO / RABAT / RMLAH / TAVIV / TRPLI / TUNIS,À l'étranger : ALGER / CAIRO / RABAT / RMLAH / TAVIV / TRPLI / TUNIS,NA,NA,NA
LEVEL4ID = 404,Canada: ESD - Middle East Bureau,Canada : ESD - Direction générale Moyen-Orient,NA,NA,NA
LEVEL4ID = 405,Abroad: ABDBI / AMMAN / BERUT / BGHDD / DOHA / DUBAI / ERBIL / KWAIT / RYADH,À l'étranger : ABDBI / AMMAN / BERUT / BGHDD / DOHA / DUBAI / ERBIL / KWAIT / RYADH,NA,NA,NA
LEVEL4ID = 406,Canada: EUD - Bureau of European Affairs,Canada : EUD - Dir. gén. des affaires européennes,NA,NA,NA
LEVEL4ID = 407,Abroad Cluster 1: CSDPLD / LDN / PARIS / ROME / VATCN,À l'étranger groupement 1 : CSDPLD / LDN / PARIS / ROME / VATCN,NA,NA,NA
LEVEL4ID = 408,Abroad Cluster 2: BREU / BRLIN / BRU / CSDPBR / CSDPBU / DDORF / HAGUE / MUNIC,À l'étranger groupement 2: BREU / BRLIN / BRU / CSDPBR / CSDPBU / DDORF / HAGUE / MUNIC,NA,NA,NA
LEVEL4ID = 409,Abroad Cluster 3: ATHNS / BCLNA / BERN / BPEST / BRTSV / BUCST / DUBLN / LSBON / MDRID / PRGUE / RIGA / TALIN / VIENN / VLNUS / WSAW / ZAGRB,À l'étranger groupement 3: ATHNS / BCLNA / BERN / BPEST / BRTSV / BUCST / DUBLN / LSBON / MDRID / PRGUE / RIGA / TALIN / VIENN / VLNUS / WSAW / ZAGRB,NA,NA,NA
LEVEL4ID = 410,Canada: IGD - International Security Policy Bureau,Canada : IGD - DG politique de sécurité int.,NA,NA,NA
LEVEL4ID = 411,Abroad: VOSCE / VPERM / BNATO,À l'étranger : VOSCE / VPERM / BNATO,NA,NA,NA
LEVEL4ID = 412,Canada: MID - International Organizations,Canada : MID - Organisations internationales,NA,NA,NA
LEVEL4ID = 413,Abroad: GENEV / PESCO / PRMNY,À l'étranger : GENEV / PESCO / PRMNY,NA,NA,NA
LEVEL4ID = 414,Canada: NDD - Central America & Caribbean,Canada : NDD - Amérique centrale & Caraïbes,NA,NA,NA
LEVEL4ID = 415,Abroad Cluster 1: GRGTN / GTMLA / MNGUA / PANAM / PCANA / PSPAN / SDMGO / SJCRA / SSAL / TGLPA,À l'étranger groupement 1 : GRGTN / GTMLA / MNGUA / PANAM / PCANA / PSPAN / SDMGO / SJCRA / SSAL / TGLPA,NA,NA,NA
LEVEL4ID = 416,Abroad Cluster 2: BDGTN / HAVAN / KNGTN / PRNCE,À l'étranger groupement 2 : BDGTN / HAVAN / KNGTN / PRNCE,NA,NA,NA
LEVEL4ID = 417,Canada: NLD - South America and Inter-American Affairs,Canada : NLD - Amérique du Sud et Affaires interaméricaines,NA,NA,NA
LEVEL4ID = 418,Abroad Cluster 1: BGOTA / CRCAS / LAPAZ / LIMA / PRMOAS / QUITO,À l'étranger groupement 1 : BGOTA / CRCAS / LAPAZ / LIMA / PRMOAS / QUITO,NA,NA,NA
LEVEL4ID = 419,Abroad Cluster 2: BAIRS / BELO / BRSLA / MVDEO / PALGR / RECIF / RIO / SPALO / STAGO,À l'étranger groupement 2 : BAIRS / BELO / BRSLA / MVDEO / PALGR / RECIF / RIO / SPALO / STAGO,NA,NA,NA
LEVEL4ID = 420,Abroad Cluster 1: WSHDC,À l'étranger groupement 1 : WSHDC,NA,NA,NA
